Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Matched Candidate,Matched District,Matched Party,Matched Race
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-01 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,2260.0,3,Mail production/postage,Support Charlie Loveridge,PM,Mail,1716,mail production/postage,N,,,,,,,,CHARLIE LOVERIDGE,HOUSE DISTRICT 49,REP,STATE REPRESENTATIVE DISTRICT 49
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-19 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,2260.0,3,Mail production/postage,Support Charlie Loveridge,PM,Mail,1716,mail production/postage,N,,,,,,,,CHARLIE LOVERIDGE,HOUSE DISTRICT 49,REP,STATE REPRESENTATIVE DISTRICT 49
School Freedom Fund,04/07/2026 to 04/25/2026,C6,2026-04-21 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,2260.0,3,Mail production/postage,Support Charlie Loveridge,PM,Mail,"1,716",Mail production/postage,N,,,,,,,,CHARLIE LOVERIDGE,HOUSE DISTRICT 49,REP,STATE REPRESENTATIVE DISTRICT 49
School Freedom Fund,04/07/2026 to 04/25/2026,C6,2026-04-14 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,2260.0,3,Mail production/postage,Support Charlie Loveridge,PM,Mail,"1,716",Mail production/postage,N,,,,,,,,CHARLIE LOVERIDGE,HOUSE DISTRICT 49,REP,STATE REPRESENTATIVE DISTRICT 49
School Freedom Fund,04/07/2026 to 04/25/2026,C6,2026-04-24 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,2260.0,3,Mail production/postage,Support Charlie Loveridge,PM,Mail ,"1,716",Mail production/postage,N,,,,,,,,CHARLIE LOVERIDGE,HOUSE DISTRICT 49,REP,STATE REPRESENTATIVE DISTRICT 49
School Freedom Fund,04/07/2026 to 04/25/2026,C6,2026-04-07 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,22202,,2260.0,3,Mail production/postage,Support Charlie Loveridge,PM,Mail,"1,716",Mail production/postage,N,,,,,,,,CHARLIE LOVERIDGE,HOUSE DISTRICT 49,REP,STATE REPRESENTATIVE DISTRICT 49
