Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Column 1,Column 2,Matched Candidate,Matched District,Matched Party,Matched Race
Conservatives4MT,,,,,,,,,,,,,11815.88,,,,,,,,,,,,,,,,,,TY LINGER,HOUSE DISTRICT 36,REP,STATE REPRESENTATIVE DISTRICT 36
Conservatives4MT,,,,,,,,,,,,,1639.61,,,,,,,,,,,,,,,,,,TY LINGER,HOUSE DISTRICT 36,REP,STATE REPRESENTATIVE DISTRICT 36
Conservatives4MT,,,,,,,,,,,,,1639.61,,,,,,,,,,,,,,,,,,TY LINGER,HOUSE DISTRICT 36,REP,STATE REPRESENTATIVE DISTRICT 36
Conservatives4MT,,,,,,,,,,,,,1694.77,,,,,,,,,,,,,,,,,,TY LINGER,HOUSE DISTRICT 36,REP,STATE REPRESENTATIVE DISTRICT 36
Conservatives4MT,,,,,,,,,,,,,2500.00,,,,,,,,,,,,,,,,,,TY LINGER,HOUSE DISTRICT 36,REP,STATE REPRESENTATIVE DISTRICT 36
