Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Matched Candidate,Matched District,Matched Party,Matched Race
Conservatives4MT,03/26/2026 to 04/25/2026,C6,2026-04-14 00:00:00,Lamar ,,,,7505 Entryway Drive,Billings,MT,59101.0,,4716.0,3.0,BILLBOARD FEE,Chris Rindal,PM,Billboards - 2 @ Lewistown,2 months,Billboard advertising,N,,,,,,,,CHRIS RINDAL,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-21 00:00:00,Whistlestop Strategies LLC,,,,"100 Coastal Drive, Suite 305",Charleston,SC,29492,,3662.0,3,Mail production/postage,Oppose Chris Rindal,PM,Mail,4944,mail production/postage,N,,,,,,,,CHRIS RINDAL,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-14 00:00:00,Whistlestop Strategies LLC,,,,"100 Coastal Drive, Suite 305",Charleston,SC,29492,,3662.0,3,Mail production/postage,Oppose Chris Randal,PM,mail,4944,mail production/postage,N,,,,,,,,CHRIS RINDAL,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-05-24 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,3662.0,3,Mail production/postage,Oppose Chris Rindal,PM,Mail,4944,mail production/postage,N,,,,,,,,CHRIS RINDAL,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
Treasure State Stewards,03/26/2026 to 04/25/2026,C4,2026-04-20 00:00:00,Yellowstone News Group,,,Yellowstone News Group,P.O. Box 2000,Livingston,MT,59047,,680.0,3,Newspaper ad,Chris Rindal,PM,Newspaper,1,,N,,,,,,,,CHRIS RINDAL,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
