Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Column 1,Column 2,Matched Candidate,Matched District,Matched Party,Matched Race
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,31408.05,3,"Video explaining Eddie Buttery vote for tax dollars to DEI initiatives, queer history panel, obscene material to minors.",Buttery SD11,PM,Cable TV Media Buy-SD11,"SD11-Great Falls, 280 spots, April 22-May 19","Design, Production, Ad Placement",N,,,,,,,,,,ED BUTTREY,SENATE DISTRICT 11,REP,STATE SENATOR DISTRICT 11
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,20778.9,3,"Radio ads explaining Eddie Buttery vote for tax dollars to DEI initiatives, queer history panel, obscene material to minors.",Buttery SD11,PM,Radio Media Buy-SD11,"SD11-Great Falls, 170 broadcast spots, April 22-June 2","Design, Production, Ad Placement",N,,,,,,,,,,ED BUTTREY,SENATE DISTRICT 11,REP,STATE SENATOR DISTRICT 11
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,58471.76,3,"Video explaining David Bedey's vote for tax dollars to fund DEI, Transgender art projects, queer panel, Obamacare that funds transgender services.",Bedey SD43,PM,Streaming-SD43,"SD43-Missoula, 1,291,248 Impressions, April 15-June 2","Design, Production, Ad Placement",N,,,,,,,,,,DAVID BEDEY,SENATE DISTRICT 43,REP,STATE SENATOR DISTRICT 43
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,12178,3,"Radio ads explaining Eric Albus vote for tax dollars to fund DEI & gender neutral pronouns, Transgender art projects, hosted workshop on queer history",Albus SD14,PM,Radio Media Buy-SD14,"SD14-Rural Great Falls, 180 spots, April 22-June 2","Design, Production, Ad Placement",N,,,,,,,,,,ERIC ALBUS,SENATE DISTRICT 14,REP,STATE SENATOR DISTRICT 14
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,28178.69,3,"Video explaining Linda Reksten's vote for tax dollars to fund groups that hosted, Transgender art projects, hosted workshop on queer history.",Reksten HD13,PM,Streaming-HD13,"HD13-Missoula, 577,416 Impressions, April 15-June 2","Design, Production, Ad Placement",N,,,,,,,,,,LINDA REKSTEN,HOUSE DISTRICT 13,REP,STATE REPRESENTATIVE DISTRICT 13
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-13 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,9188.15,3,"(Jones, vote to raise gas tax SD9 $4087.85) (Reksten HD13 Vote DEI $2570.10) (Carlson HD68 Vote DEI $2530.20)","Jones SD9,  Reksten HD 13,  Carlson HD68",PM,Mailer,"(5000 printed SD9, 4251 mailed & postage) (2500 printed SD13, 1986 mailed & postage) (2500 printed SD68, 1872 mailed & postage)","Design, Printing & Postage",N,,,,,,,,,,LLEW JONES | LINDA REKSTEN | JENNIFER CARLSON,SENATE DISTRICT 9 | HOUSE DISTRICT 13 | HOUSE DISTRICT 68,REP | REP | REP,STATE SENATOR DISTRICT 9 | STATE REPRESENTATIVE DISTRICT 13 | STATE REPRESENTATIVE DISTRICT 68
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-13 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,10984.49,3,(Voting record DEI SD43 $4129.25) (Voting record DEI SD14 $3864.26) (Voting record DEI SD11 $2991.08),Bedey SD43; Albus SD14; Buttrey SD11,PM,Mailer,"(5000 printed SD43, 4369 mailed & postage) (3637 printed SD14, 3637 mailed & postage) (2746 printed SD11, 2746 mailed & postage)","Design, Printing & Postage",N,,,,,,,,,,DAVID BEDEY | ERIC ALBUS | ED BUTTREY,SENATE DISTRICT 43 | SENATE DISTRICT 14 | SENATE DISTRICT 11,REP | REP | REP,STATE SENATOR DISTRICT 43 | STATE SENATOR DISTRICT 14 | STATE SENATOR DISTRICT 11
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-10 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,9188.15,3,(Exposing voting record Jones SD9 $4087.85) (Positive Warden HD13 $2570.10) (Positive Chamberlin HD68 $2530.20),Jones SD9; Warden HD13; Chamberlin HD68,PM,Mailer,"(SD9 5000 printed, 4251 mailed & postage) (HD13 2500 printed, 1986 mailed & postage) (HD68 2500 printed, 1872 mailed & postage)","Design, Printing & Postage",N,,,,,,,,,,LLEW JONES | FINLEY WARDEN | RANDY CHAMBERLIN,SENATE DISTRICT 9 | HOUSE DISTRICT 13 | HOUSE DISTRICT 68,REP | REP | REP,STATE SENATOR DISTRICT 9 | STATE REPRESENTATIVE DISTRICT 13 | STATE REPRESENTATIVE DISTRICT 68
AMERICANS FOR PROSPERITY - MONTANA,04/26/2026 to 05/24/2026,C4,2026-05-20 0:00:00,UNITED STATES POSTAL SERVICE,,,,470 L'ENFANT PLAZA SW STE 604,WASHINGTON,DC,20024,,882.14,3,Mailer,ZACK WIRTH (SD-9),PM,,"5,513",MAILER POSTAGE,N,,,,,,,,,,ZACK WIRTH,SENATE DISTRICT 9,REP,STATE SENATOR DISTRICT 9
AMERICANS FOR PROSPERITY - MONTANA,04/26/2026 to 05/24/2026,C4,2026-05-20 0:00:00,FCG MAIL LLC,,,,558 E CASTLE PINES PKWY STE B-4 BOX 333,CASTLE PINES,CO,80108,,2815.61,3,Mailer,ZACK WIRTH (SD-9),PM,,"5,513","MAILER DESIGN, PRINTING & PRODUCTION",N,,,,,,,,,,ZACK WIRTH,SENATE DISTRICT 9,REP,STATE SENATOR DISTRICT 9
